年度及月份,總計,汽車 /合計,汽車職業,汽車職業 /聯結車,汽車職業 /大客車,汽車職業 /大貨車,汽車職業 /小型車,汽車普通,汽車普通 /聯結車,汽車普通 /大客車,汽車普通 /大貨車,汽車普通 /小型車,機車 /合計,大型重型機車,普通重型機車,輕型機車
107年底,28673892,13910465,458252,103232,91352,109448,154220,13452213,61156,146716,558970,12685371,14763427,368025,13598664,796738
107年 7月底,28526231,13828717,459891,104318,91808,110969,152796,13368826,59578,144621,557081,12607546,14697514,355371,13536574,805569
107年 8月底,28592480,13864105,459773,104171,91751,110695,153156,13404332,59864,145030,557557,12641881,14728375,358612,13566067,803696
107年 9月底,28632268,13888686,459413,103948,91665,110446,153354,13429273,60145,145444,557912,12665772,14743582,360888,13580524,802170
107年 10月底,28652756,13898052,458856,103694,91553,110075,153534,13439196,60511,145897,558270,12674518,14754704,363230,13591256,800218
107年 11月底,28661098,13903015,458533,103478,91500,109712,153843,13444482,60832,146328,558647,12678675,14758083,365677,13594202,798204
107年 12月底,28673892,13910465,458252,103232,91352,109448,154220,13452213,61156,146716,558970,12685371,14763427,368025,13598664,796738
108年 (6月底),28789759,13967728,456875,102204,90939,108113,155619,13510853,62730,148852,560373,12738898,14822031,382980,13651403,787648
108年 1月底,28689499,13917548,457762,102969,91215,109005,154573,13459786,61500,147084,559370,12691832,14771951,370712,13605871,795368
108年 2月底,28702513,13922366,457316,102707,91202,108779,154628,13465050,61720,147255,559518,12696557,14780147,372361,13613422,794364
108年 3月底,28717301,13929000,457015,102528,91121,108580,154786,13471985,61936,147467,559639,12702943,14788301,375141,13620407,792753
108年 4月底,28744588,13943578,456887,102448,90989,108406,155044,13486691,62218,148009,560024,12716440,14801010,377757,13632293,790960
108年 5月底,28769422,13956829,456969,102288,91039,108243,155399,13499860,62496,148431,560336,12728597,14812593,380733,13642607,789253
108年 6月底,28789759,13967728,456875,102204,90939,108113,155619,13510853,62730,148852,560373,12738898,14822031,382980,13651403,787648
108年 7月,28822035,13989636,457003,102103,91018,108037,155845,13532633,62935,148931,560275,12760492,14832399,385923,13661608,784866
108年 8月,28877600,14026735,457311,102015,91117,107966,156213,13569424,63144,148982,560145,12797153,14850865,388925,13679214,782724
108年 9月,28907072,14048491,457186,101845,91092,107785,156464,13591305,63448,149382,560249,12818226,14858581,391184,13686827,780568
108年 10月,28920740,14058910,456825,101697,90967,107498,156663,13602085,63745,149856,560458,12828026,14861830,393922,13689359,778547
108年 11月,28887853,14062847,456368,101572,90896,107100,156800,13606479,63988,149928,560449,12832114,14825006,396757,13655347,772900
108年 12月,28893552,14071166,455937,101368,90832,106793,156944,13615229,64340,150328,560841,12839720,14822386,399304,13652829,770251
109年 1月,28895367,14070039,454453,100950,90574,106293,156636,13615586,64574,150472,560793,12839747,14825328,401515,13654637,769174
109年 2月,28928896,14082265,455345,101017,90856,106401,157071,13626920,64816,150723,561024,12850357,14846631,404864,13673550,768215
109年 3月,28950779,14093815,455277,100923,90854,106250,157250,13638538,65118,150887,561412,12861121,14856964,408596,13681674,766692
109年 4月,28966551,14105171,454783,100757,90724,105976,157326,13650388,65358,151345,561654,12872031,14861380,412081,13684025,765272
109年 5月,28992098,14119904,455359,100836,90780,106083,157660,13664545,65611,151840,562001,12885093,14872194,415985,13692031,764176
109年 6月,29020848,14135082,455349,100796,90696,105998,157859,13679733,65894,152242,562321,12899276,14885766,419560,13703276,762928
109年 7月,29066833,14158329,455678,100954,90877,105904,157943,13702651,66013,152715,562620,12921303,14908504,424727,13722153,761622
109年 8月,29130154,14196622,455817,101054,90933,105799,158031,13740805,66087,153150,562973,12958595,14933532,429052,13744014,760464
109年 9月,29179070,14227570,456128,101112,90994,105800,158222,13771442,66240,153477,563231,12988494,14951500,433490,13759314,758694
109年 10月,29201359,14242023,455892,101057,90898,105583,158354,13786131,66517,153853,563610,13002151,14959336,436849,13765435,757050
109年 11月,29219181,14251531,455687,101021,90851,105451,158364,13795844,66739,154271,563891,13010943,14967650,440653,13771697,755298
109年 12月,29235961,14262301,455373,100956,90820,105257,158340,13806928,67048,154636,564206,13021038,14973660,444905,13775138,753615
110年 1月,29249089,14269471,454959,100921,90698,104984,158356,13814512,67291,154887,564531,13027803,14979618,447761,13779450,752405
110年 2月,29268896,14277576,454187,100795,90508,104714,158170,13823389,67483,155066,564694,13036146,14991320,450489,13789400,751429
110年 3月,29290111,14288488,454286,100691,90560,104609,158426,13834202,67745,155223,564826,13046408,15001623,455789,13796055,749777
110年 4月,29322993,14303341,454346,100730,90439,104465,158712,13848995,67959,155421,565059,13060556,15019652,460441,13813367,745844
110年 5月,29339721,14310565,454090,100698,90374,104309,158709,13856475,68109,155780,565267,13067319,15029156,463399,13822159,743598
110年 6月,29330748,14301610,453260,100489,90271,104179,158321,13848350,68185,155554,564795,13059816,15029138,463313,13823271,742554
110年 7月,29345399,14307310,452989,100425,90168,104088,158308,13854321,68401,155798,564911,13065211,15038089,466432,13829731,741926
110年 8月,29369538,14317597,452447,100408,89971,103894,158174,13865150,68633,155381,564689,13076447,15051941,471745,13840237,739959
110年 9月,29418402,14346649,451888,100392,89755,103690,158051,13894761,68932,156063,565273,13104493,15071753,476712,13856500,738541
110年 10月,29447567,14365502,451100,100432,89458,103329,157881,13914402,69267,156708,565970,13122457,15082065,481043,13863683,737339
110年 11月,29465226,14378012,450447,100463,89270,103100,157614,13927565,69628,157255,566416,13134266,15087214,485354,13866036,735824
110年 12月,29480255,14389020,450025,100461,89209,102898,157457,13938995,69961,157627,566876,13144531,15091235,489846,13866891,734498
